filename,total_characters,split
40348.txt,572792,train
52104.txt,119370,train
43069.txt,892759,train
3304.txt,93828,train
46077.txt,131056,train
57810.txt,406408,train
515.txt,321168,train
29828.txt,1135683,train
30137.txt,473870,train
36338.txt,523491,train
43526.txt,193254,train
36170.txt,565137,train
46408.txt,1799742,train
4030.txt,66278,train
34304.txt,564045,train
47948.txt,1821246,train
32435.txt,178765,train
26423.txt,635684,train
56372.txt,408045,train
55940.txt,129572,train
50466.txt,43013,train
54967.txt,327081,train
58658.txt,1953327,train
6288.txt,341965,train
31594.txt,121209,train
33754.txt,210151,train
36930.txt,53098,train
52819.txt,948240,train
46088.txt,323369,train
24539.txt,95571,train
33331.txt,101988,train
5232.txt,313172,train
46755.txt,413379,train
26390.txt,578881,train
29368.txt,760397,train
31160.txt,319792,train
54725.txt,21912,train
6117.txt,638333,train
32776.txt,695218,train
40285.txt,427169,train
33582.txt,114086,train
39203.txt,104248,train
35920.txt,228846,train
6070.txt,490615,train
48704.txt,70625,train
4912.txt,1019426,train
30523.txt,50597,train
49684.txt,119313,train
48586.txt,170966,train
32122.txt,334668,train
43550.txt,955170,train
4258.txt,279248,train
42231.txt,1266472,train
9235.txt,37564,train
42008.txt,184851,train
32006.txt,239670,train
45370.txt,106971,train
10700.txt,1275909,train
26660.txt,7315,train
24992.txt,79658,train
26704.txt,388691,train
51108.txt,271639,train
53877.txt,58407,train
4099.txt,160183,train
7879.txt,480734,train
30269.txt,482632,train
35962.txt,97595,train
26880.txt,125622,train
29399.txt,249235,train
56802.txt,150555,train
43543.txt,529946,train
56494.txt,372748,train
31745.txt,403564,train
2611.txt,134362,train
6017.txt,585510,train
16524.txt,49061,train
714.txt,220289,train
24761.txt,163261,train
9080.txt,89658,train
2735.txt,1273391,train
48199.txt,375033,train
55960.txt,323765,train
46512.txt,137033,train
8474.txt,64208,train
56648.txt,473373,train
53466.txt,185069,train
2926.txt,40085,train
29263.txt,345485,train
57199.txt,279599,train
42619.txt,434141,train
35266.txt,288625,train
4995.txt,307455,train
45283.txt,1993616,train
48418.txt,319139,train
57474.txt,61397,train
56463.txt,663187,train
48950.txt,275152,train
203.txt,1006053,train
53159.txt,289994,train
10832.txt,289056,train
9391.txt,498240,train
39518.txt,138017,train
2786.txt,497827,train
28814.txt,25825,train
53340.txt,156609,train
51685.txt,672510,train
11273.txt,2071243,train
50013.txt,93477,train
34828.txt,497997,train
42046.txt,1046678,train
39929.txt,99350,train
45531.txt,299065,train
58246.txt,149106,train
10600.txt,1270469,train
17279.txt,543037,train
28191.txt,122140,train
47147.txt,387920,train
36161.txt,17755,train
513.txt,194884,train
25589.txt,82852,train
38326.txt,1047870,train
9296.txt,579672,train
47232.txt,279961,train
36799.txt,280151,train
57827.txt,604385,train
50294.txt,122740,train
53967.txt,863319,train
45071.txt,472789,train
37639.txt,47882,train
25513.txt,316693,train
532.txt,328172,train
11025.txt,98445,train
299.txt,319064,train
10848.txt,354429,train
30937.txt,62540,train
30492.txt,60096,train
3964.txt,219392,train
21704.txt,223577,train
41876.txt,507837,train
54843.txt,46521,train
647.txt,423381,train
43660.txt,359387,train
25637.txt,194249,train
34925.txt,548208,train
2012.txt,93416,train
28980.txt,988169,train
37674.txt,444976,train
34457.txt,720095,train
56293.txt,190636,train
28019.txt,367975,train
40701.txt,252296,train
45844.txt,145203,train
36835.txt,139858,train
49239.txt,71467,train
38597.txt,75616,train
35016.txt,329025,train
5381.txt,86055,train
12161.txt,192379,train
29405.txt,452924,train
34331.txt,250758,train
7355.txt,36499,train
42602.txt,1111901,train
28423.txt,93325,train
42809.txt,107290,train
1951.txt,300717,train
56978.txt,258267,train
26987.txt,304617,train
46976.txt,877116,train
3745.txt,289308,train
54028.txt,84734,train
37962.txt,382086,train
39656.txt,4012,train
48566.txt,470383,train
57143.txt,1216594,train
58408.txt,1449830,train
37499.txt,581276,train
2508.txt,336984,train
56797.txt,492183,train
19339.txt,151061,train
3555.txt,242860,train
36628.txt,55673,train
25597.txt,268104,train
9847.txt,279061,train
1740.txt,428713,train
43076.txt,665274,train
37563.txt,276808,train
52386.txt,283801,train
53684.txt,16099,train
52859.txt,50115,train
4443.txt,1095070,train
169.txt,1161957,train
32846.txt,688875,train
4068.txt,283146,train
31671.txt,143503,train
21474.txt,642532,train
34945.txt,405102,train
36458.txt,335261,train
55709.txt,330822,train
32397.txt,650746,train
45482.txt,13015,train
29626.txt,203030,train
52347.txt,176144,train
39019.txt,567491,train
36917.txt,72741,train
45484.txt,9563,train
26516.txt,368466,train
26121.txt,86325,train
30676.txt,149433,train
29952.txt,284859,train
4061.txt,998401,train
42475.txt,708491,train
46813.txt,356184,train
48507.txt,1481516,train
1576.txt,772115,train
30621.txt,332741,train
6016.txt,264330,train
7347.txt,437322,train
6407.txt,1042089,train
2928.txt,37968,train
4270.txt,482513,train
39918.txt,691599,train
12099.txt,259376,train
55617.txt,337705,train
3984.txt,157447,train
10101.txt,206972,train
6010.txt,554566,train
429.txt,421246,train
7493.txt,148585,train
45788.txt,1049688,train
41743.txt,281720,train
3943.txt,199973,train
43188.txt,317293,train
